artical_name , info 
,,
,,
,,
Micro Small and Medium Enterprises Development Institute of Muzaffarpur,Micro Small and Medium Enterprises Development Institute of Muzaffarpur,Detailed information about the Micro Small and Medium Enterprises Development Institute of Muzaffarpur is given. Users can find information related to the training programmes. industrial services. cluster development. international business events etc. Details of various labour and industrial policies are provided.
Website of Directorate General of Factory Advice Service and Labour Institute,Website of Directorate General of Factory Advice Service and Labour Institute,Directorate General. Factory Advice Service and Labour Institutes (DGFASLI) is an attached office of the Ministry of Labour and Employment and has been set up with the objective of coordinating the factory inspection services in the states. Users can get information about OSH research projects. Details about various advisory services like Respiratory Equipment Testing Laboratory (RETL). types... 
National Award Scheme for MSME Entrepreneurs,National Award Scheme for MSME Entrepreneurs,The Ministry of Micro. Small and Medium Enterprises with a view to recognizing the efforts and contribution of MSMEs gives National Award annually to selected entrepreneurs and enterprises under the scheme of National Award. Detailed information on this scheme. its objectives. eligibility criterion. awardees. etc. is provided.
Information on tax holiday scheme by Micro| Small & Medium Enterprises Development Commissioner,Information on tax holiday scheme by Micro, Small & Medium Enterprises Development Commissioner,Get information about tax holiday scheme by Micro. Small & Medium Enterprises (MSME) Development Commissioner. User can get details about the scheme and direct taxes.
Detailed Demands for Grants| Department for Promotion of Industry and Internal Trade,Detailed Demands for Grants, Department for Promotion of Industry and Internal Trade,Find Demands for Grants for Department for Promotion of Industry and Internal Trade. Details such as revenue. capital. total grant amount of money. etc are available. Users can view and download the files.
Main schemes of Small Industries Development Bank of India,Main schemes of Small Industries Development Bank of India,Detailed information about the main schemes of Small Industries Development Bank of India is provided. Details of new schemes such as Technology Development & Modernisation Fund. National Equity Fund etc. are given. Information pertaining to new schemes is also given.
Micro Small and Medium Enterprises Development Institute of Ranchi,Micro Small and Medium Enterprises Development Institute of Ranchi,Find information about the Micro. Small and Medium Enterprises Development Institute (MSME-DI) of Ranchi. Users can access information on services like assistance to potential entrepreneurs and existing micro and small enterprises. organizing skill development programmes etc. Information on service charges is given. List of technical experts is also provided. Users can find details on... 
Micro Small and Medium Enterprises Development Institute of Imphal,Micro Small and Medium Enterprises Development Institute of Imphal,Get information about the Micro Small and Medium Enterprises Development Institute of Imphal. Users can find information related to the industrial services. training programmes and schemes.
Micro Small and Medium Enterprises Development Institute of Allahabad,Micro Small and Medium Enterprises Development Institute of Allahabad,Information about the Micro Small and Medium Enterprises Development Institute of Allahabad is available. Detailed information about the industrial services. training programmes. projects and cluster development etc. is given. Details of various schemes for small scale industries are provided.
Micro Small and Medium Enterprises Development Institute of Uttarakhand,Micro Small and Medium Enterprises Development Institute of Uttarakhand,Get detailed information about the Micro Small and Medium Enterprises Development Institute. Uttarakhand. Information about the organization structure. faculty. incentives and schemes is given. Details of industrial training programmes are also available.
Micro Small and Medium Enterprises Development Institute of Bangalore,Micro Small and Medium Enterprises Development Institute of Bangalore,Information about the Micro Small and Medium Enterprises Development Institute of Bangalore is given. Users can find information about the RTI. Divisions. Tenders and FAQs etc.
Website of Indian Institute of Entrepreneurship,Website of Indian Institute of Entrepreneurship,The Indian Institute of Entrepreneurship (IIE) under the Ministry of Micro. Small and Medium Enterprises undertakes training. research and consultancy activities focusing on entrepreneurship development. Users can get information on services offered by the institute such as training. research. consultancy. seminar and workshop. Information related to the institute infrastructure such as... 
Credit Guarantee Fund Scheme for Micro and Small Enterprises,Credit Guarantee Fund Scheme for Micro and Small Enterprises,The Credit Guarantee Fund Scheme for Micro and Small Enterprises (CGMSE) was launched by the Government of India to make available collateral-free credit to the micro and small enterprise sector. You can find information on this scheme. eligibility lending institutions. credit facility. awareness programme. finance. etc.
Credit Link Capital Subsidy Scheme for Technology Upgradation by MSME,Credit Link Capital Subsidy Scheme for Technology Upgradation by MSME,Get information about the Credit Link Capital Subsidy Scheme for Technology Upgradation by Ministry of Micro. Small and Medium Enterprises. Find details of the scheme summary. bank-wise list of beneficiaries. guidelines and other scheme related document. Users can apply online for the scheme. Facility to track application is also available.
Reports by Ministry of Micro Small and Medium Enterprises,Reports by Ministry of Micro Small and Medium Enterprises,Find various reports by Ministry of Micro Small and Medium Enterprises (MSME). Information about new projects. annual reports. technology study reports. report on MSME working groups. etc. is given. Details related to other reports such as evaluation report. survey report. entrepreneurship development programme in biotechnology. etc. are also available.
